City,Country,Continent,Population 2023,Population 2024,Growth Rate
Bucaramanga,Colombia,South America,1381498,1396632,0.011
Uyo,Nigeria,Africa,1329284,1393453,0.0483
Copenhagen,Denmark,Europe,1381005,1391205,0.0074
Shiyan,China,Asia,1354025,1387377,0.0246
Taizhong,Taiwan,Asia,1369066,1381855,0.0093
Bareilly,India,Asia,1348664,1380715,0.0238
Pointe Noire,Republic of the Congo,,1336387,1379368,0.0322
Adelaide,Australia,Oceania,1366783,1379280,0.0091
Suweon,South Korea,Asia,1365352,1378229,0.0094
Mwanza,Tanzania,Africa,1310754,1378014,0.0513
Mianyang Sichuan,China,Asia,1351383,1376449,0.0185
Samut Prakan,Thailand,Asia,1358871,1376146,0.0127
Maceio,Brazil,South America,1363510,1375984,0.0091
San Diego,United States,North America,1378307,1375452,-0.0021
Qom,Iran,Asia,1354174,1373800,0.0145
Antalya,Turkey,Asia,1347240,1372400,0.0187
Joinville,Brazil,South America,1348521,1361992,0.01
Tengzhou,China,Asia,1322916,1360779,0.0286
Yingkou,China,Asia,1323174,1355564,0.0245
Ad Dammam,Saudi Arabia,Asia,1329291,1352912,0.0178
Suzhou,China,Asia,1310433,1349994,0.0302
Tanger,Morocco,Africa,1314178,1348848,0.0264
Freetown,Sierra Leone,Africa,1309168,1347559,0.0293
Helsinki,Finland,Europe,1337786,1346810,0.0067
Aligarh,India,Asia,1312369,1346018,0.0256
Moradabad,India,Asia,1301740,1335966,0.0263
Pekan Baru,Indonesia,Asia,1303355,1334532,0.0239
Maoming,China,Asia,1303900,1333930,0.023
Lilongwe,Malawi,Africa,1276316,1333096,0.0445
Porto,Portugal,Europe,1324652,1329301,0.0035
Prague,Czech Republic,,1323339,1327947,0.0035
Astana,Kazakhstan,Asia,1291280,1324111,0.0254
Jieyang,China,Asia,1282479,1320779,0.0299
Fushun Liaoning,China,Asia,1304565,1317276,0.0097
Mysore,India,Asia,1288245,1316461,0.0219
Abomey Calavi,Benin,Africa,1252890,1314916,0.0495
Ruian,China,Asia,1281790,1314784,0.0257
Fes,Morocco,Africa,1290039,1313311,0.018
Port Elizabeth,South Africa,Africa,1295928,1312631,0.0129
Florianopolis,Brazil,South America,1294486,1309895,0.0119
Ahvaz,Iran,Asia,1293619,1309372,0.0122
Bukavu,DR Congo,Africa,1248783,1308469,0.0478
Nnewi,Nigeria,Africa,1239186,1300993,0.0499
Kazan,Russia,Asia,1291884,1296232,0.0034
Jinhua,China,Asia,1257941,1296065,0.0303
Dallas,United States,North America,1297495,1295447,-0.0016
San Luis Potosi,Mexico,North America,1273325,1292133,0.0148
Baoji,China,Asia,1261077,1290231,0.0231
Durg Bhilainagar,India,Asia,1266034,1289673,0.0187
Bhubaneswar,India,Asia,1257642,1289254,0.0251
Kigali,Rwanda,Africa,1247551,1287952,0.0324
Sofia,Bulgaria,Europe,1288114,1287540,-0.0004
Pingdingshan Henan,China,Asia,1256581,1285750,0.0232
Dublin,Ireland,Europe,1270172,1284551,0.0113
Puning,China,Asia,1254160,1282756,0.0228
Chifeng,China,Asia,1252414,1279544,0.0217
Zhuzhou,China,Asia,1254519,1277238,0.0181
Bujumbura,Burundi,Africa,1206767,1277050,0.0582
Zhenjiang Jiangsu,China,Asia,1250668,1275395,0.0198
Liupanshui,China,Asia,1230644,1272872,0.0343
Barquisimeto,Venezuela,South America,1254192,1267872,0.0109
Islamabad,Pakistan,Asia,1232447,1266792,0.0279
Huaibei,China,Asia,1236271,1264856,0.0231
Tasikmalaya,Indonesia,Asia,1213778,1258124,0.0365
Maracay,Venezuela,South America,1242945,1256553,0.0109
Bogor,Indonesia,Asia,1231445,1256155,0.0201
Da Nang,Vietnam,Asia,1220634,1253228,0.0267
Nizhniy Novgorod,Russia,Asia,1251332,1250302,-0.0008
Nanyang Henan,China,Asia,1224629,1250300,0.021
Xiangtan Hunan,China,Asia,1223912,1249380,0.0208
Pizhou,China,Asia,1207275,1247177,0.0331
Tiruchirappalli,India,Asia,1221960,1244978,0.0188
Chelyabinsk,Russia,Asia,1240926,1243883,0.0024
Mendoza,Argentina,South America,1226427,1242319,0.013
Luohe,China,Asia,1197935,1241152,0.0361
Xiongan,China,Asia,1183042,1240158,0.0483
Chandigarh,India,Asia,1214775,1239699,0.0205
Merida,Mexico,North America,1220603,1239654,0.0156
Jinzhou,China,Asia,1215376,1238377,0.0189
Benxi,China,Asia,1216852,1237550,0.017
Binzhou,China,Asia,1200222,1233584,0.0278
Aba,Nigeria,Africa,1188803,1230407,0.035
Chiang Mai,Thailand,Asia,1213348,1228773,0.0127
Bazhong,China,Asia,1175989,1225591,0.0422
Quetta,Pakistan,Asia,1190348,1221495,0.0262
Kaduna,Nigeria,Africa,1187398,1221451,0.0287
Guilin,China,Asia,1196841,1218067,0.0177
Saharanpur,India,Asia,1171689,1207856,0.0309
Hubli Dharwad,India,Asia,1181194,1205428,0.0205
Yueqing,China,Asia,1169864,1201400,0.027
Guwahati,India,Asia,1176330,1199455,0.0197
Mexicali,Mexico,North America,1178477,1196982,0.0157
Salem,India,Asia,1169953,1194757,0.0212
Maputo,Mozambique,Africa,1162793,1193253,0.0262
Tripoli,Libya,Africa,1183292,1192436,0.0077
Haifa,Israel,Asia,1174429,1186475,0.0103
Bandar Lampung,Indonesia,Asia,1162242,1186233,0.0206
Bobo Dioulasso,Burkina Faso,Africa,1128646,1185053,0.05
Amsterdam,Netherlands,Europe,1174025,1181817,0.0066
Shimkent,Kazakhstan,Asia,1155073,1181020,0.0225
Omsk,Russia,Asia,1180745,1180677,-0.0001
Aguascalientes,Mexico,North America,1161448,1179301,0.0154
Hargeysa,Somalia,Africa,1127198,1176617,0.0438
Krasnoyarsk,Russia,Asia,1166792,1173095,0.0054
Xinxiang,China,Asia,1140599,1160840,0.0177
Siliguri,India,Asia,1126249,1159371,0.0294
Wenling,China,Asia,1131361,1159259,0.0247
Samara,Russia,Asia,1155732,1154451,-0.0011
Zaozhuang,China,Asia,1133629,1150859,0.0152
Cologne,Germany,Europe,1143715,1149014,0.0046
Yongin,South Korea,Asia,1135671,1147967,0.0108
Ufa,Russia,Asia,1144799,1146786,0.0017
Fuyang,China,Asia,1120694,1146343,0.0229
Ikorodu,Nigeria,Africa,1093308,1145224,0.0475
Bien Hoa,Vietnam,Asia,1110824,1142997,0.029
Jalandhar,India,Asia,1118826,1142682,0.0213
Panjin,China,Asia,1120675,1142542,0.0195
Ma'anshan,China,Asia,1112680,1140264,0.0248
Cuernavaca,Mexico,North America,1123843,1140169,0.0145
Rostov on Don,Russia,Asia,1138854,1139641,0.0007
Chihuahua,Mexico,North America,1116295,1135342,0.0171
Fuzhou Jiangxi,China,Asia,1100271,1131718,0.0286
Tshikapa,DR Congo,Africa,1077108,1131226,0.0502
Shangrao,China,Asia,1106736,1130887,0.0218
Samarinda,Indonesia,Asia,1100324,1128176,0.0253
Bishkek,Kyrgyzstan,Asia,1104742,1127721,0.0208
Zhaoqing,China,Asia,1103202,1127601,0.0221
San Salvador,El Salvador,North America,1116052,1123376,0.0066
Yichun Jiangxi,China,Asia,1078630,1122041,0.0402
Chenzhou,China,Asia,1084969,1119791,0.0321
Sekondi Takoradi,Ghana,Africa,1077929,1119534,0.0386
Leshan,China,Asia,1087409,1116497,0.0267
Aden,Yemen,Asia,1079670,1116193,0.0338
Goyang,South Korea,Asia,1105283,1114079,0.008
Diyarbakir,Turkey,Asia,1096937,1113333,0.0149
Asmara,Eritrea,Africa,1072666,1111748,0.0364
Dezhou,China,Asia,1080680,1108356,0.0256
Jingzhou Hubei,China,Asia,1089886,1108067,0.0167
Managua,Nicaragua,North America,1094510,1107118,0.0115
Johor Bahru,Malaysia,Asia,1086214,1107001,0.0191
Kermanshah,Iran,Asia,1084623,1101611,0.0157
Nyala,Sudan,Africa,1056952,1101314,0.042
Oslo,Norway,Europe,1085992,1100868,0.0137
Kirkuk,Iraq,Asia,1074884,1100390,0.0237
Yerevan,Armenia,Asia,1094813,1097542,0.0025
Cartagena,Colombia,South America,1087599,1096463,0.0082
Changshu,China,Asia,1059902,1093687,0.0319
Huzhou,China,Asia,1067651,1091811,0.0226
Xuchang,China,Asia,1063876,1091744,0.0262
Solapur,India,Asia,1070322,1088131,0.0166
Lille,France,Europe,1079120,1085199,0.0056
Mersin,Turkey,Asia,1069402,1084817,0.0144
Tbilisi,Georgia,Asia,1082245,1084471,0.0021
Perm,Russia,Asia,1081768,1084120,0.0022
Voronezh,Russia,Asia,1080808,1083724,0.0027
Denpasar,Indonesia,Asia,1053041,1075244,0.0211
Toulouse,France,Europe,1060460,1070746,0.0097
Blantyre Limbe,Malawi,Africa,1030974,1070625,0.0385
Aracaju,Brazil,South America,1056986,1070122,0.0124
Marrakech,Morocco,Africa,1049690,1067172,0.0167
Qujing,China,Asia,1038964,1066897,0.0269
Yueyang,China,Asia,1048889,1064166,0.0146
Ilorin,Nigeria,Africa,1030498,1063713,0.0322
Tampico,Mexico,North America,1047251,1062567,0.0146
Antwerp,Belgium,Europe,1057215,1061089,0.0037
Teresina,Brazil,South America,1050459,1059657,0.0088
Guiping,China,Asia,1020399,1055921,0.0348
Warangal,India,Asia,1031090,1055604,0.0238
Changwon,South Korea,Asia,1054442,1055373,0.0009
Padang,Indonesia,Asia,1033645,1052849,0.0186
Saltillo,Mexico,North America,1034126,1050320,0.0157
Xintai,China,Asia,1023756,1049486,0.0251
Cancun,Mexico,North America,1022604,1045005,0.0219
Cebu City,Philippines,Asia,1024945,1042613,0.0172
San Miguel De Tucuman,Argentina,South America,1026767,1039226,0.0121
Hamah,Syria,Asia,995747,1034498,0.0389
Acapulco De Juarez,Mexico,North America,1018976,1032772,0.0135
Warri,Nigeria,Africa,986921,1031425,0.0451
Kayseri,Turkey,Asia,1013240,1025507,0.0121
Chengde,China,Asia,993097,1024521,0.0316
Owerri,Nigeria,Africa,983352,1022922,0.0402
Rotterdam,Netherlands,Europe,1018012,1021919,0.0038
Pingxiang Jiangxi,China,Asia,999721,1021575,0.0219
Zhucheng,China,Asia,991208,1019600,0.0286
Songkhla,Thailand,Asia,1005007,1017784,0.0127
Valparaiso,Chile,South America,1008599,1016585,0.0079
Dehradun,India,Asia,991876,1016402,0.0247
Nonthaburi,Thailand,Asia,1000947,1013672,0.0127
Leiyang,China,Asia,978327,1013191,0.0356
Dushanbe,Tajikistan,Asia,986899,1012794,0.0262
Nampula,Mozambique,Africa,969322,1012582,0.0446
Misratah,Libya,Africa,984193,1011119,0.0274
Krasnodar,Russia,Asia,1001155,1010552,0.0094
Laiwu,China,Asia,986248,1009727,0.0238
Bordeaux,France,Europe,1000475,1009594,0.0091
Jixi Heilongjiang,China,Asia,993175,1008989,0.0159
San Pedro Sula,Honduras,North America,982021,1008220,0.0267
Odesa,Ukraine,Europe,1007716,1007596,-0.0001
Jiujiang,China,Asia,982777,1004247,0.0218
Lubango,Angola,Africa,958548,1003016,0.0464
Morelia,Mexico,North America,988744,1002461,0.0139
Jos,Nigeria,Africa,970129,1001155,0.032
Sylhet,Bangladesh,Asia,964291,999374,0.0364
Agadir,Morocco,Africa,979248,998146,0.0193
Volgograd,Russia,Asia,995078,993352,-0.0017
Mudanjiang,China,Asia,975348,992414,0.0175
Jacksonville,United States,North America,981125,990931,0.01
Guigang,China,Asia,967428,990310,0.0237
Fort Worth,United States,North America,973275,989842,0.017
Najaf,Iraq,Asia,958487,987814,0.0306
Bangui,Central African Republic,,958335,985965,0.0288
Rajshahi,Bangladesh,Asia,961991,983707,0.0226
Hengshui,China,Asia,955663,983694,0.0293
Austin,United States,North America,978786,983126,0.0044
Jerusalem,Israel,Asia,969804,983097,0.0137
Zhangzhou,China,Asia,955519,980054,0.0257
Xinyu,China,Asia,952278,979303,0.0284
Linfen,China,Asia,951822,978614,0.0281
Tianmen,China,Asia,953768,978317,0.0257
Ciudad Guayana,Venezuela,South America,964266,978202,0.0145
Zamboanga City,Philippines,Asia,960349,977081,0.0174
Yangjiang,China,Asia,956079,976606,0.0215
Taiz,Yemen,Asia,940600,974518,0.0361
Cucuta,Colombia,South America,963045,972485,0.0098
Arequipa,Peru,South America,958998,971296,0.0128
Liling,China,Asia,936997,970907,0.0362
Antipolo,Philippines,Asia,946653,968288,0.0229
Veracruz,Mexico,North America,955226,968070,0.0134
Reynosa,Mexico,North America,951417,967627,0.017
Khulna,Bangladesh,Asia,955104,965483,0.0109
Deyang,China,Asia,939166,963160,0.0255
Pathum Thani,Thailand,Asia,950048,962126,0.0127
Bengbu,China,Asia,944465,959784,0.0162
Jiangyin,China,Asia,933395,959250,0.0277
Southampton,United Kingdom,,951531,959202,0.0081
Villahermosa,Mexico,North America,943530,958118,0.0155
Baishan,China,Asia,927532,956976,0.0317
Nice,France,Europe,948149,951808,0.0039
Oran,Algeria,Africa,935947,950768,0.0158
West Rand,South Africa,Africa,934341,947734,0.0143
Cabinda,Angola,Africa,904676,947634,0.0475
Umuahia,Nigeria,Africa,904139,947460,0.0479
Bogra,Bangladesh,Asia,905814,944877,0.0431
Bahawalpur,Pakistan,Asia,919654,944812,0.0274
Seongnam,South Korea,Asia,941508,942159,0.0007
Guntur,India,Asia,918324,940205,0.0238
Dnipro,Ukraine,Europe,941586,936766,-0.0051
Campo Grande,Brazil,South America,926095,934936,0.0095
Malang,Indonesia,Asia,919443,933392,0.0152
Londrina,Brazil,South America,922425,932892,0.0113
Dandong,China,Asia,917936,932648,0.016
San Jose,United States,North America,951934,932636,-0.0203
Changzhi,China,Asia,910743,930620,0.0218
Hermosillo,Mexico,North America,915060,929961,0.0163
Bhiwandi,India,Asia,906581,924670,0.02
La Plata,Argentina,South America,914036,923715,0.0106
Liverpool,United Kingdom,Europe,917032,922871,0.0064
Ashgabat,Turkmenistan,Asia,902353,921601,0.0213
Concepcion,Chile,South America,911862,920916,0.0099
Charlotte,United States,North America,909022,920325,0.0124
Puducherry,India,Asia,897983,919280,0.0237
Changde,China,Asia,898338,919026,0.023
Bergamo,Italy,Europe,913376,918675,0.0058
Firozabad,India,Asia,894388,918218,0.0266
Erbil,Iraq,Asia,896716,917639,0.0233
Tyumen,Russia,Asia,903815,916862,0.0144
Trujillo,Peru,South America,903896,916632,0.0141
Liaoyang,China,Asia,900692,916238,0.0173
Shangqiu,China,Asia,895111,915823,0.0231
Ulsan,South Korea,Asia,912734,914300,0.0017
Tuxtla Gutierrez,Mexico,North America,897694,913075,0.0171
Columbus,United States,North America,908823,909676,0.0009
Kuerle,China,Asia,875496,906765,0.0357
Soshanguve,South Africa,Africa,892254,905868,0.0153
Xingtai,China,Asia,886381,904070,0.02
Culiacan,Mexico,North America,888620,903910,0.0172
Quzhou,China,Asia,871457,902621,0.0358
Cherthala,India,Asia,870465,901820,0.036
Huangshi,China,Asia,876930,893107,0.0184
Fuxin,China,Asia,876131,889767,0.0156
Lokoja,Nigeria,Africa,839046,885882,0.0558
Hufuf Mubarraz,Saudi Arabia,Asia,872438,884753,0.0141
Libreville,Gabon,Africa,869773,883920,0.0163
Yongzhou,China,Asia,860522,883326,0.0265
Xinghua,China,Asia,861978,882986,0.0244
Donetsk,Ukraine,Europe,887716,882209,-0.0062
Yibin,China,Asia,864910,881480,0.0192
Enugu,Nigeria,Africa,846560,875552,0.0342
Tainan,Taiwan,Asia,869625,875392,0.0066
Indianapolis (balance),United States,North America,877355,874089,-0.0037
Xinyang,China,Asia,855191,873268,0.0211
Ipoh,Malaysia,Asia,857225,872424,0.0177
Luzhou,China,Asia,857683,870714,0.0152
Banghazi,Libya,Africa,859209,870502,0.0131
Maiduguri,Nigeria,Africa,844747,870201,0.0301
Yangquan,China,Asia,851630,869585,0.0211
Huaihua,China,Asia,843754,869575,0.0306
Xiaogan,China,Asia,849580,869479,0.0234
Tianshui,China,Asia,837479,858672,0.0253
Bunia,DR Congo,Africa,812090,856339,0.0545
Bozhou,China,Asia,830125,854946,0.0299
Kottayam,India,Asia,818628,853635,0.0428
Zhuji,China,Asia,834782,852608,0.0214
Kunshan,China,Asia,826414,851399,0.0302
Quebec City,Canada,North America,844249,851061,0.0081
Palermo,Italy,Europe,849687,850233,0.0006
Winnipeg,Canada,North America,841108,849251,0.0097
Orumiyeh,Iran,Asia,835900,848443,0.015
Eskisehir,Turkey,Asia,834065,848002,0.0167
Benguela,Angola,Africa,809468,843207,0.0417
Jincheng,China,Asia,818057,841928,0.0292
Valencia,Spain,Europe,838301,839770,0.0018
Heze,China,Asia,826777,838928,0.0147
Saratov,Russia,Asia,838377,837687,-0.0008
Nellore,India,Asia,816293,837660,0.0262
Huludao,China,Asia,821132,836344,0.0185
Zanzibar,Tanzania,Africa,800010,835850,0.0448
Barcelona Puerto La Cruz,Venezuela,South America,825581,835805,0.0124
Bikaner,India,Asia,818566,835802,0.0211
Haicheng,China,Asia,821192,834639,0.0164
Gebze,Turkey,Asia,813394,831360,0.0221
Taixing,China,Asia,811451,830623,0.0236
Liaocheng,China,Asia,813369,830004,0.0205
Zhumadian,China,Asia,804537,829361,0.0309
Newcastle Upon Tyne,United Kingdom,,823431,828712,0.0064
Langfang,China,Asia,807833,827967,0.0249
Bucheon,South Korea,Asia,826981,826919,-0.0001
Sulaimaniya,Iraq,Asia,800793,823199,0.028
Xalapa,Mexico,North America,811041,822863,0.0146
Malanje,Angola,Africa,783243,822471,0.0501
Anqiu,China,Asia,791931,821765,0.0377
Sorocaba,Brazil,South America,813320,821435,0.01
Gaomi,China,Asia,797964,821154,0.0291
Dasmarinas,Philippines,Asia,802600,820886,0.0228
Cagayan De Oro City,Philippines,Asia,803194,820297,0.0213
Hanchuan,China,Asia,795835,818761,0.0288
Meishan,China,Asia,796756,818037,0.0267
Bologna,Italy,Europe,814332,816848,0.0031
Ar Rayyan,Qatar,Asia,798382,815869,0.0219
Thessaloniki,Greece,Europe,814524,814980,0.0006
Muzaffarnagar,India,Asia,791214,814491,0.0294
Kayamkulam,India,Asia,786192,813379,0.0346
Nottingham,United Kingdom,,806757,813078,0.0078
Nakhon Ratchasima,Thailand,Asia,801853,811446,0.012
Danyang,China,Asia,789755,810450,0.0262
Ibb,Yemen,Asia,771514,810149,0.0501
Amravati,India,Asia,792620,808263,0.0197
Jiaozuo,China,Asia,796509,808079,0.0145
Vereeniging,South Africa,Africa,793927,802900,0.0113
Gorakhpur,India,Asia,788276,801634,0.0169
Gaza,Palestine,Asia,778187,800636,0.0288
Frankfurt,Germany,Europe,796437,800529,0.0051
Anqing,China,Asia,779535,795987,0.0211
Niigata,Japan,Asia,797865,795916,-0.0024
Oshogbo,Nigeria,Africa,771515,795808,0.0315
Linhai,China,Asia,776076,795777,0.0254
Shaoguan,China,Asia,784230,794279,0.0128
Erduosi Ordoss,China,Asia,774321,794143,0.0256
Merca,Somalia,Africa,760129,793545,0.044
Bur Sa'id,Egypt,Africa,778280,792925,0.0188
Kitwe,Zambia,Africa,762981,792350,0.0385
Yan'an,China,Asia,767188,791839,0.0321
Cuttack,India,Asia,775559,789558,0.0181
Hamilton,Canada,North America,781047,786843,0.0074
Zaria,Nigeria,Africa,766007,786197,0.0264
Banjarmasin,Indonesia,Asia,770959,785125,0.0184
Dengzhou,China,Asia,759150,783041,0.0315
Belgaum,India,Asia,767161,783020,0.0207
Malegaon,India,Asia,764628,781925,0.0226
Goma,DR Congo,Africa,744247,781875,0.0506
Zigong,China,Asia,768075,779684,0.0151
Qingyuan,China,Asia,766782,778628,0.0154
Yuncheng,China,Asia,754711,777193,0.0298
Shaoyang,China,Asia,761169,776404,0.02
Yanji,China,Asia,757224,775672,0.0244
Tirupati,India,Asia,752744,775455,0.0302
Maturin,Venezuela,South America,758185,775097,0.0223
Yuxi,China,Asia,750102,774356,0.0323
Akure,Nigeria,Africa,744371,773141,0.0387
Tongliao,China,Asia,756158,772756,0.022
Sialkot,Pakistan,Asia,753325,770962,0.0234
Tongling,China,Asia,752916,770032,0.0227
Krakow,Poland,Europe,769417,769396,0
Ansan,South Korea,Asia,766703,768822,0.0028
Wuzhou,China,Asia,751679,768512,0.0224
Dazhou,China,Asia,748257,767532,0.0258
Suining Sichuan,China,Asia,750097,765887,0.0211
Mangalore,India,Asia,749073,763312,0.019
Jiamusi,China,Asia,749763,761903,0.0162
Al Hudaydah,Yemen,Asia,734699,759157,0.0333
Seattle,United States,North America,753624,757992,0.0058
Sargodha,Pakistan,Asia,741818,757915,0.0217
Nay Pyi Taw,Myanmar,Asia,722836,757823,0.0484
Tamale,Ghana,Africa,729768,757506,0.038
Sao Jose Dos Campos,Brazil,South America,749188,757137,0.0106
Bacoor,Philippines,Asia,739682,757035,0.0235
Dongtai,China,Asia,738200,756344,0.0246
Zhangjiagang,China,Asia,733810,755752,0.0299
Nanded Waghala,India,Asia,738552,755577,0.0231
Xianyang Shaanxi,China,Asia,743491,754446,0.0147
Amara,Iraq,Asia,729276,753708,0.0335
Zarqa,Jordan,Asia,748428,753392,0.0066
Bhavnagar,India,Asia,737128,751493,0.0195
Sheffield,United Kingdom,Europe,745876,751303,0.0073
Huambo,Angola,Africa,727641,751297,0.0325
Ribeirao Preto,Brazil,South America,742115,750174,0.0109
Panzhihua,China,Asia,738495,750036,0.0156